"mouseMovements","keystrokes","scrollingPatterns","ipAddress"
"[]","[]","[]",""
"[]","[]","[]",""
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]",""
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[]","[]","[]","106.51.8.242"
"[{""x"":1423,""y"":45,""timestamp"":1725249747702},{""x"":1265,""y"":54,""timestamp"":1725249747803}]","[]","[]","106.51.8.242"
"[{""x"":1423,""y"":45,""timestamp"":1725249747702},{""x"":1265,""y"":54,""timestamp"":1725249747803},{""x"":1004,""y"":245,""timestamp"":1725249747909}]","[]","[]","106.51.8.242"
"[{""x"":1423,""y"":45,""timestamp"":1725249747702},{""x"":1265,""y"":54,""timestamp"":1725249747803},{""x"":1004,""y"":245,""timestamp"":1725249747909},{""x"":975,""y"":303,""timestamp"":1725249748030},{""x"":975,""y"":270,""timestamp"":1725249748130}]","[]","[]","106.51.8.242"
"[{""x"":1423,""y"":45,""timestamp"":1725249747702},{""x"":1265,""y"":54,""timestamp"":1725249747803},{""x"":1004,""y"":245,""timestamp"":1725249747909},{""x"":975,""y"":303,""timestamp"":1725249748030},{""x"":975,""y"":270,""timestamp"":1725249748130},{""x"":931,""y"":233,""timestamp"":1725249748234}]","[]","[]","106.51.8.242"
"[{""x"":1423,""y"":45,""timestamp"":1725249747702},{""x"":1265,""y"":54,""timestamp"":1725249747803},{""x"":1004,""y"":245,""timestamp"":1725249747909},{""x"":975,""y"":303,""timestamp"":1725249748030},{""x"":975,""y"":270,""timestamp"":1725249748130},{""x"":931,""y"":233,""timestamp"":1725249748234}]","[]","[]","106.51.8.242"
"[{""x"":1423,""y"":45,""timestamp"":1725249747702},{""x"":1265,""y"":54,""timestamp"":1725249747803},{""x"":1004,""y"":245,""timestamp"":1725249747909},{""x"":975,""y"":303,""timestamp"":1725249748030},{""x"":975,""y"":270,""timestamp"":1725249748130},{""x"":931,""y"":233,""timestamp"":1725249748234}]","[]","[]","106.51.8.242"
